Colour name,Tint,Hex
Deep violet,1,440099
Deep violet,0.9,5719A3
Deep violet,0.8,6933AD
Deep violet,0.7,7C4DB8
Deep violet,0.6,8F66C2
Deep violet,0.5,A280CC
Deep violet,0.4,B499D6
Deep violet,0.3,C7B3E0
Deep violet,0.2,DACCEB
Deep violet,0.1,ECE6F5
Deep violet,0.05,F6F2FA
Deep violet,0.03,F9F7FC
Powder blue,1,9ADBE8
Powder blue,0.9,A4DFEA
Powder blue,0.8,AEE2ED
Powder blue,0.7,B8E6EF
Powder blue,0.6,C2E9F1
Powder blue,0.5,CDEDF3
Powder blue,0.4,D7F1F6
Powder blue,0.3,E1F4F8
Powder blue,0.2,EBF8FA
Powder blue,0.15,F0FAFC
Powder blue,0.1,F5FBFD
Powder blue,0.05,FAFDFE
Midnight black,1,131E29
Midnight black,0.9,2B353E
Midnight black,0.8,424B54
Midnight black,0.7,5A6269
Midnight black,0.6,71787F
Midnight black,0.5,898F94
Midnight black,0.4,A1A5A9
Midnight black,0.3,B8BBBF
Midnight black,0.2,D0D2D4
Midnight black,0.1,E7E9EA
Midnight black,0.05,F3F4F4
Midnight black,0.03,F8F8F9
Teal,1,005A8F
Aqua,1,00BBCC
Sky blue,1,64CBE8
Mint green,1,00CE7C
Spearmint,1,3BD4AE
Pastel green,1,A1DED2
Mauve,1,663DB3
Purple,1,981F92
Lavender,1,DAA8E2
Coral,1,E7004C
Flamingo,1,FF6371
Peach,1,FF9664
